Id,NameCanonical,NameAuthorship,NameYear,RefString,RefYear
28355b4a-4134-47ff-9863-366814d3972e,Glandularia hassleriana,(Briq.) Tronc.,"",Tronc. In: Darwiniana 19: 738. (1975).,1975
3265b4bb-57c5-44db-ae76-ec6b26b8517c,Sinoinsula scutata,"(L.i.Zhou, 2013)","","Zhou, Y. Y., Li, S. Q. Two new genera of jumping spiders from Hainan Island, China (Araneae, Salticidae). Zootaxa 3712: 1-84. (2013).",2013
d36e86cd-5a48-4bd1-9da9-211a441f512c,Meryta salicifolia,J.W.Moore,"",J.W.Moore. In: Occas. Pap. Bernice Pauahi Bishop Mus. 16: 13. (1940).,1940
91d51d41-aff6-4d7f-8c0b-8fdc22c6e5b4,Ichneumon arvernicus,"Pic, 1914",1914,"Pic, M. Diagnoses de divers Ichneumoniens. Echange. 30:69-70. (1914).",1914
a01d768a-6758-4c3d-aaf9-476661dd36ac,Paratiberioides similis,"Iwase, 1995",1995,Iwase K. A new species of the genus Paratiberioides from Sulawesi. Elytra. Tokyo 23(2):225-227. (1995).,1995
b0c6b1c9-32db-488b-9220-6212ecf3be42,Thanatophis sutus,"Posada Arango, 1889",1889,\N,""
a1547f94-f8cf-4714-9fc6-c533923407cb,Erithalis salmeoides,Correll,"",Correll. In: J. Arnold Arbor. 58: 49. (1977).,1977
2f8a8ed3-0af5-431e-94e7-26c58cb5d164,Ipomoea kilwaensis,Pilger,"",Pilger. In: Engl. Jahrb. 45: 222. (1910).,1910
5f5964b9-ea12-4d9b-8dc1-04cf309172cd,Grandjeanoplophora (Grandjeanoplophora) mauritanica,"(Grandjean, 1932)","",\N,""
ad1d094e-ef96-409e-b596-bca3a70b4392,Vaimosa piapensis,"Herre, 1927",1927,\N,""
8fa1b345-9e53-49f0-b58c-9b63e52407e5,Ephemerum cristatum,"C.Müller, 1847",1847,C. Müller. Bot. Zeitung (Berlin). (1847).,1847
bc747668-d03e-4ebf-b742-8b447ebadd26,Coronella puncticulatus,"Gray, 1853",1853,\N,""
9cc72f5f-4274-4fcc-929d-0f6f82073a48,Lachnum cylindricum,"W.Y.Zhuang & K.D.Hyde, 2001",2001,"Zhuang, W.Y.; Hyde, K.D. New species of Lachnum and Perrotia from Hong Kong, China. In: Mycologia 93(3):606. (2001).",2001
8bdc95e7-5042-4d93-a5f9-3b783fbc7f09,Glyphodes pulverulentalis,"Hampson, 1896",1896,\N,""
4e95cabb-2845-4984-a02c-6dd12467ca9d,Bithynia (Bithynia) forcarti,"Glöer & Pešić, 2012",2012,"Glöer, P. & Pešić, V. The freshwater snails (Gastropoda) of Iran, with descriptions of two new genera and eight new species. ZooKeys. 219: 11-61. Sofia [4 September]. (2012).",2012
cc7218bb-3939-4e5f-8dbd-0aecd1892fd3,Stylochoplana vesiculata,"Palombi, 1940",1940,"Palombi, A. Policladi delle coste occidentali dell Africa. Materiale raccolto dal Dr. E. Dartevelle. Rev Zool.Bot.Africaines. 33:190-121 Bruxelles. (1940).",1940
6ee4d2a2-ae52-4941-8d72-3c21f00e3fda,Truncatella thaanumi thaanumi,"Clench & R.D.Turner, 1948",1948,"Clench W.J. & Turner R.D. A catalogue of the family Truncatellidae with notes and descriptions of new species. Occasional Papers on Mollusks. 1(13): 157-212, 4 plates. (1948).",1948
9636373f-676e-45da-9c6a-c8b5ffeef9d2,Theronia melanocephala,"(Brulle, 1846)","","Brulle, M.A. Tome Quatrieme. Des Hymenopteres. Les Ichneumonides. ""In: Lepeletier de Saint-Fargeau A. ""Histoire Naturelles des Insectes."" Paris. 680 pp. pp. 56-521."". (1846).",1846
34216b7f-36a7-424a-b0a8-ba6bb21ad7da,Cassiope mertensiana gracilis,Piper,"",Piper. In: Smithsonian Misc. Collect. 50: 195. (1907).,1907
e842ca46-c818-49c0-a39b-6d9b91b60a98,Epiparasia incertella,"Herrich-Schäffer, 1861",1861,\N,""
740b7707-000f-435d-8666-126bdb9c1bb8,Paracaryum inconspicuum,Brand,"",Brand. In: Feddes Repert. 13: 549. (1915).,1915
dbf19145-06c8-4335-bea1-dc59eae1acec,Deuterixys patro,"(Nixon, 1965)","","Nixon, G.E.J. A reclassification of the tribe Microgasterini (Hymenoptera: Braconidae). Bulletin of the British Museum (Natural History), Entomology series. Supplement 2:1-284. (1965).",1965
c2fce82e-3d5e-4257-9b7d-19bed17737c3,Myodocarpus fraxinifolius var. balansae,Dubard & R.Vig.,"",Dubard & R.Vig. In: Agric. Prat. Pays Chauds 3: 709. (1904).,1904
6c9e0854-102f-4a0e-b2a3-613aa32f472c,Ligusticum capense,(Burm.fil.) DC.,"","DC. In: DC., Prodr. 4: 159. (1830).",1830
d8e1edcf-c6a5-4d9c-baaf-2fe4bd60cbf6,Bouvardia strigosa,Benth.,"",Benth. In: Pl. Hartw.: 75. (1841).,1841
55aa861c-7e16-44ab-bf16-dfb6ee6d8ae0,Scomber calcar,"Bloch, 1793",1793,\N,""
6049ad40-ceb2-403f-ac76-3b796d70d0e3,Notelaea posua,D.Don,"",D.Don. In: Prodr. Fl. Nepal.: 107. (1825).,1825
045ca7a9-0c79-44ca-b2a3-92bc6d888627,Chionanthus havilandii,Kiew,"",Kiew. In: Malaysian Forester 43: 375. (1980).,1980
7b55f997-6d8a-4f8b-9f74-f0d479cca1ec,Euprognatha granulata,"Faxon, 1893",1893,\N,""
4bfa0446-86ba-4b3b-a2e3-037a4d33fa5e,Echidnodes capparis,"Hansf., 1946",1946,"Hansford, C.G. In: Proc. Linn. Soc. London 157:195. (1946).",1946
f7460433-80a8-4fba-8539-1492da1aaec5,Picus chlorolophus longipennis,"(Hartert, 1910)","",\N,""
b38a14dd-6a34-4e51-8e6c-89fd8b756ac9,Neotoma (Neotoma) devia,"Goldman, 1927",1927,\N,""
3fa449e4-fee7-41b4-8140-1e0c18332c34,Helianthemum thessalum,Boiss. & Orph. ex Orph.,"",Orph. In: Bull. Congr. Bot. Petersb. 1869 136. (1870).,1870
5d13046a-bba5-4010-bdcb-1d9b429ecba4,Scaptomyza quadruangulata,"Singh & Dash, 1993",1993,\N,""
cd965705-0dc9-4f23-b99d-3dd4d7be9ad1,Festuca pilgeri,St.-Yves,"",St.-Yves. In: Notizbl. Bot. Gart. Berlin-Dahlem 9: 1130. (1927).,1927
21294f98-c49a-459a-9953-128d78962ff6,Temelucha subnasuta,"(Thomson, 1890)","","Thomson, C.G. XLII. Cremastus och narstaende genera. Opuscula Entomologica. Lund. XIV:1439-1458. (1890).",1890
434d8c0b-df60-448b-9786-7f71be88ce45,Melitta sibirica quinghaiensis,"Wu, 2000",2000,\N,""
99d87e1e-af47-46e8-ab02-9eec3d3f62fe,Poa minima,(L.) Stokes,"","W.Withering. In: Bot. Arr. Brit. Pl. ed. 2, 1: 91. (1787).",1787
7d32ebc9-a7ed-4cda-821d-130ec4d9b50f,Platyzoma latum,Desv.,"","Desv. In: Mem. Soc. Linn. Paris 6, 2: 199. (1827).",1827
390a8101-4248-4e9e-9d30-0474855fb365,Chalcoscirtus minutus,"Marusik, 1990",1990,"Marusik, Y. M. Spider genus Chalcoscirtus (Aranei, Salticidae) from the USSR: Communication 1. Zoologicheskiĭ Zhurnal 69(6): 45-57. (1990).",1990
57c44f27-d576-4254-907c-a07d28b3085c,Poria fulvella,"Bres., 1925",1925,"Bresàdola, G. In: Mycologia 17(2):76. (1925).",1925
445c85ff-5bee-4f0d-ba4c-3880a6cc35e4,Benthonella kullenbergi,"Odhner, 1960",1960,"Odhner, N. Mollusca. Reports of the Swedish Deep-Sea Expedition 2. Zoology. 22: 365-400. (1960).",1960
a709f07e-dcb1-4e11-a976-947f02456607,Achnatherum papposum,\N,"",Barkworth. In: Phytologia 74: 11. (1993).,1993
44c8c16f-ba6c-4ac3-8c5f-cc30d1563b42,Rhamphomyia gracilitarsis,"Frey, 1950",1950,\N,""
8338b90c-2d16-4f72-a859-c05edf2f6843,Stanhopea annulata,Mansf.,"",Mansf. In: Orchis 16: 19. (1938).,1938
1c370903-cd59-4a24-88cf-5092a2c92404,Hyantis hodeva microphthalma,"Heller, 1894",1894,\N,""
8ef25417-032f-44cd-a69f-c92d3e4eae5f,Geodromicus (Geodromicus) plagiatus,"(Fabricius, 1798)","","Fabricius, J. C. Supplementum entomologiae systematicae. Proft et Storch, Hafniae. 2 + 572 pp. (1798).",1798
d1629d9f-366e-4e0b-a1df-b24ad52226ea,Piazorus concretus,"Dejean, 1835",1835,\N,""
32992774-a862-4182-a7ac-7c934403fd92,Yola senegalensis,"Régimbart, 1895",1895,\N,""
cea00ca1-98b8-4312-9a74-e047b5e967f3,Noraniea eoetvoesorum,A.Richter ex Gilg & Werderm.,"","Gilg & Werderm. In: Engl. & Prantl, Nat. Pflanzenfam., Aufl. 2, 21: 101. (1925).",1925
6094af57-27ff-46b5-971a-b014edebf001,Fellhanera badimioides,"Lücking, Lumbsch & Elix","","Lücking, Lumbsch & Elix. In: Bot. Acta Vol.: 107 Issue: 6 p. 400. (1994).",1994
7c109e8e-7840-4a5e-b3d0-e8ae01e628b3,Ctena tatei,"(Angas, 1879)","",\N,""
7e37b5d1-13e0-4881-8bce-4b88f004fb9c,Lactuca ugandensis,C.Jeffrey,"",C. Jeffrey. In: Kew Bull. 18: 446. (1966).,1966
ccf75e2b-2fcb-4d1a-ae09-7033e83777dc,Argas macrostigmatus,"Filippova, 1961",1961,\N,""
3c4b4ef2-bade-4092-afec-49855b7d034f,Pyrgula (Iljinella) sasykensis,"Roshka, 1973",1973,"Roshka, V.Kh. Mollyuski meotica severo-zapadnogo prichernomor'ya. Shtiintsa, Kishinev. (1973).",1973
e1f672bb-afcf-4e63-a3b2-f616f90579fc,Rissoa didyma,"R.B.Watson, 1886",1886,"Watson, R.B. Report on the Scaphopoda and Gasteropoda collected by H.M.S. Challenger during the years 1873-76. Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology. 15 (part 42): 1-756, pl. 1-50. (1886).",1886
a54fe4e8-3093-4755-959d-cb74d1de6052,Limonia mouicola,"Alexander, 1948",1948,\N,""
8ec1774b-761f-4946-8add-6ca252aea913,Senga pahangensis,"Furtado & Chau-lan, 1971",1971,\N,""
8021ab2f-ee71-46f2-8ffd-5845ebef9b5c,Coelopeltis monspessulana,"Boulenger, 1920",1920,\N,""
8a649ccc-fd5f-475b-bfc6-9ca84983f0bc,Unxia scopifer,"Guérin, 1953",1953,"GUÉRIN Jacintho. Coleópteros do Brasil. São Paulo, Faculdade de Filosofia, Ciências e Letras da Universidade de São Paulo, 356 pp, 500 figs. (1953).",1953
c7adc164-9ec3-487a-800a-0e497cf46e0a,Zygophylax profunda,"Quelch, 1885",1885,\N,""
dcea5de2-006f-4b4a-8520-5a9ce7d00869,Saldinia subacuminata var. strigosa,Bremek.,"",Bremek. In: Candollea 16: 115. (1957).,1957
95b9a9fc-3f57-41aa-8ed3-a86aa0d34747,Thereva lichtwardti,"Krober, 1913",1913,\N,""
0270ea94-4f54-46e4-92ea-db86c74881db,Hedyotis serpyllifolia,Poir.,"","J.B.A.M.de Lamarck. In: Encycl., Suppl. 3: 14. (1813).",1813
5d698b6d-1489-4b65-a14b-737fec43b0e7,Hedyotis nigricans var. gypsophila,B.L.Turner,"",B.L.Turner. In: Phytologia 79: 15. (1995).,1995
f0373c30-44d3-46b8-920e-1b7b87894ec5,Allotinus dilutus,"Corbet, 1939",1939,\N,""
a12cab3d-3cbd-42d3-b212-a157adb15598,Erodium cicutarium var. bipinnatum,(Cav.) Ball,"",Ball. In: Ball]: 385. (1878).,1878
5c729c56-0951-4036-af25-ad3ad9ca2e69,Pneumora maculata,"Thunberg, 1775",1775,\N,""
7e0dda3b-2c30-4678-aeb2-a2b9b5a6da09,Oxalis massoniana var. flavescens,Salter,"",\N,""
c39aa257-fd9e-46b9-a18e-42ff9621e9af,Daladeropsis dispar,"Schouteden, 1938",1938,"Schouteden. Catalogues raisonnés de la faune entomologique du Congo Belge. Hémiptères, Coreidae. Annales du Musée Royal du Congo Belge. Zoologie 3 (2) 1:221-308. (1938).",1938
60449a60-08f4-4548-a8be-18677f9b9918,Cerastium balcanicum,Vandas,"","Vandas. In: Sitzungsber. Königl. Böhm. Ges Wiss. Prag, Math.-Naturwiss. Cl. 1888: 436 (1888); et ex Velen. Fl. Bulg. 87. (1891).",1891
b1054a4d-311f-42e6-84e0-b10aa75470e0,Haplobrachium costipennis,"Boheman, 1857",1857,\N,""
dfc546de-b020-4cc1-ae18-8012e3373eb5,Alternanthera brasiliana f. jacquinii,Schrad. ex Kuntze,"",\N,""
97402789-ac8d-4dcb-a2a2-d7fd0e84ed5d,Arachnotheutes kasachomicans,"Wolf, 2000",2000,"Wolf, H. Neue Wegwespen aus dem Oberösterreichischen Landesmuseum Linz (Austria). III. (Hymenoptera, Pompilidae). Linzer biol. Beitr. 32: 1317-1319. (2000).",2000
42049ae8-8b6d-4435-afae-15b6d58a9765,Trichoniscus capensis,"Barnard, 1932",1932,\N,""
3399bafb-eb2b-444d-9baa-1c26c2220ad2,Hemicycla (Hemicycla) berkeleii,"(R.T.Lowe, 1861)","","Bank, R. A.; Neubert, E. Checklist of the land and freshwater Gastropoda of Europe. (2017).",2017
00f147f4-01b7-450e-a563-bf68af3f07be,Xylotrechus ilamensis,"Sama & Rapuzzi, 2003",2003,"SAMA Gianfranco & RAPUZZI Pierpaolo. Note tassonomiche e biogeografiche su Xylotrechus ilamensis Holzschuh, 1979 e descrizione di X. ilamensis campadellii n.ssp. (Coleoptera, Cerambycidae, Clytini). Annali del Museo civico di Storia naturale di Ferrara 5 [2002]: 91-97, 7 figs. (2003).",2003
8ff2ae3f-0c4f-4376-8b2c-7c387ee39642,Alsine velutina,Boiss. & Orph.,"","Boiss. & Orph. In: Boiss., Diagn. Pl. Orient. ser. 2, 6: 36. (1859).",1859
bc483db1-f18e-4067-9e57-f93db3c4b26b,Draco sumatranus,"Schlegel, 1844",1844,\N,""
2a517363-116f-4f2b-b191-326c93e7997d,Tylophora hispida var. brownii,Hayata,"",\N,""
b17b1ff5-a2a8-4514-91ec-96278c781acc,Cuscuta americana,Jacq. ex Engelm.,"","Engelm. In: Trans. Acad. St. Louis, 1: 484. (1859).",1859
c5685aba-c34a-40f7-86c9-3c6f41f6f86c,Oxytropis anaulgensis,Pavlov,"",\N,""
25696ce1-96d8-489b-836f-6fe20114fd69,Blumea glandulosa,Benth.,"","Benth. In: Fl. Hongk. 177 (1861), non DC. (1836).",1836
7d4356b6-04fc-495e-af3f-033c24fc7107,Batrisocenus architectus,"(Reitter, 1884)","","Reitter, E. Beitrag zur Pselaphiden- und Scydmaeniden-Fauna von Java und Borneo. II. Stück. Verhandlungen der Kaiserlich-Königlichen Zoologisch-Botanischen Gesellschaft in Wien, 33: 387-428, pl. 20. (1884).",1884
96898e74-cc10-4c97-8c35-562b39ac322d,Encarsia nigricephala,"Dozier, 1937",1937,"Dozier, H.L. Descriptions of miscellaneous chalcidoid parasites from Puerto Rico (Hymenoptera). JOURBOOK: Journal of Agriculture of the University of Puerto Rico VOLUME: 21 PAGES: 121-135. (1937).",1937
962c29f7-b90b-4951-be29-250a7e192d1a,Eulepida nyassica,"Kolbe, 1894",1894,"Kolbe H.J. Beiträge zur Kenntniss der Melolonthiden. I. Uebersicht der Melolonthiden, Leucopholiden, und Schizonychinen Africas. Annales de la Societe entomologique de Belgique. Bruxelles 38:548-577. (1894).",1894
eaf25a53-b359-433e-a0b2-cbd7699e5fa0,Strategus surinamensis,"Burmeister, 1847",1847,"Burmeister H.C.C. Handbuch der Entomologie. Coleoptera Lamellicornia, Xylophila et Pectinicornia. Enslin. Berlin 5:1-584. (1847).",1847
4ba1a35b-999c-4a97-8d77-7bb2d3f64167,Krombholziella aurantiaca aurantiaca,"(Bull.) Maire, 1937",1937,"Maire, R.C.J.E. In: Publ. Inst. Bot. Barcelona 3(no. 4):46. (1937).",1937
b0a313d5-7b5a-433a-845a-b6f87086f769,Leptostomum menziesii,"R.Brown, 1811",1811,R. Brown. Trans. Linn. Soc. London. (1811).,1811
9928fca1-b419-4438-a74a-30c473b9fb92,Trechus elikasensi,"Morvan, 1976",1976,\N,""
062fefa4-3899-4f5a-b01a-6a096a49994b,Succisa bipinnata,Moench,"",Moench. In: Meth. 489. (1794).,1794
bdb7398f-477b-44a5-a2df-92638ed43dcf,Syncoelicotyloides macruri,"Mamaev & Brashovian, 1989",1989,\N,""
21ccb463-c709-4c80-a6eb-2f0fdda77b1f,Spathelia brittonii,P Wilson,"",P Wilson. In: North America. Fl. 25: 208. (1911).,1911
d114a9a5-7e2c-4865-95fb-e8b890644256,Lestodiplosis morchellae,"Rübsaamen, 1911",1911,\N,""
db747214-2585-4b51-aa2a-e04d5dc416c2,Arenaria retusa arundana,"(Gallego) S.Rivas-Martínez, A.Asensi, J.Molero Mesa & F.Valle","",\N,""
d714a2fe-c43b-47f7-8c6c-faa54b669580,Xerochrysum interiore,Paul G.Wilson,"",Paul G. Wilson. In: Nuytsia 28: 19. (2017).,2017
bf2bb203-fcdd-44ff-a194-3fb568143829,Ocimum basilicum var. album,(L.) Benth.,"",N.Wallich. In: Pl. Asiat. Rar. 2: 13. (1830).,1830
a5ad7645-d99d-4edc-9453-ed8ce5894d3b,Lycopodium clavatum monostachyon,(Hook. & Grev.) Selander,"",Selander. In: Acta Phytogeogr. Suec. 28: 22. (1950).,1950
bd1e213a-a3a1-4ac7-acbb-1b9a105b53f8,Crassiembolius nigrus,"Carvalho, 1981",1981,"Carvalho, J. C. M. The Bryocorinae of Papua New Guinea (Hemiptera, Miridae). Arquivos do Museu Nacional, Rio de Janeiro 56: 35--89. (1981).",1981
b4686d89-bcfe-4b0a-9266-ed5906d50593,Blechnum houttuynii,Poir.,"",Poir. In: Encycl. suppl. 1: 644. (1810).,1810
766c3328-f32e-4b32-9c60-5166534844e9,Inocybe occidentalis,"Kropp, Matheny & Hutchison, 2013",2013,"Kropp, B.R.; Matheny, P.B.; Hutchison, L.J. Inocybe section Rimosae in Utah: phylogenetic affinities and new species. In: Mycologia 105(3):742. (2013).",2013
f8fb2326-1428-416e-9dd8-c8b3dccc3a79,Argutor orientalis,"Motschulsky, 1850",1850,"MOTSCHULSKY, T. Victor Ivanovich de. Die Käfer Russlands. I. Insecta Carabica. -. ""iv + xii + 91 pp., 11 pls. (Moscow: W.GAUTIER). (<a href = ""https://biodiversitylibrary.org/page/44168571"" target =""_blank"">See BHL)"". (1850).",1850
0f5e4fb3-35ff-4a04-8fa6-8e132238b12d,Asperula montana var. lactea,Porta,"",Porta. In: Nuovo Giorn. Bot. Ital. 11: 254. (1879).,1879
634fe1b3-b3f7-422a-a255-93dc68432ce9,Dasystachys grantii,\N,"",G.Bentham & J.D.Hooker. In: Gen. Pl. 3: 789. (1883).,1883
306c5472-9830-4676-9e78-6ff537aae80e,Ranunculus fallax connectens,Markl.,"",\N,""
9674f0c8-de77-4f00-bbc0-b374e828208f,Holicorobeus incerta,"Ponomarenko, 1990",1990,\N,""
ecf1e76b-6130-4f3a-810b-9d8fde1cc992,Liopus major,"Pic, 1898",1898,"PIC Maurice. Séance du 9 mars 1898. Description d'un Liopus nouveau de Syrie [Col.]. Bulletin de la Société Entomologique de France, Paris 1898: 125. (1898).",1898
83fc0cd9-d446-410c-a826-28f5cd6fa6ba,Calomera peipingensis,"(Mandl, 1934)","",\N,""
3521bf6f-9cfc-44d1-a575-790f0d9b3a13,Phyllanthus wagapensis,Müll.Arg.,"",Müll.Arg. In: Flora 48: 372. (1865).,1865
90e59031-de35-43e5-9d50-5ecaa19baf89,Dyspessa kurdistana,"Bang-Haas, 1906",1906,\N,""
80ea5f75-848f-46e5-9ed7-9c728cb176f6,Pandanus luzonensis,Merr.,"",Merr. In: Publ. Bur. Sci. Gov. Lab. 17: 6. (1904).,1904
d7d463f8-9bf6-4d7a-8b58-4f7fec9c46ec,Atlanticus (Atlanticus) huangshanensis,"Shi, F.-M. & Z.Zheng, 1994",1994,\N,""
1f931519-0d7e-4527-982b-d858d64d17ab,Rectimarginalis traba,"(Ingrisch & Shishodia, 1998)","",\N,""
b6f170fa-d8b9-411a-9389-1b0753dbfd4c,Hylodes ventrimarmoratus,"Boulenger, 1912",1912,\N,""
ba22b746-7421-479d-bf61-ad28fb91acc5,Sciades nakanei,"N.Ohbayashi, Kimura & Satô, 1994",1994,"OHBAYASHI Nobuo, KIMURA Masaaki & SATÔ Masataka. The Cerambycid Fauna of the Tokara Island. In The Insects Fauna of the Tokara Islands of the Ryukyu Archipelago, WWF Japan Science Report 2 (2): 251-309, 5 pls. (1994).",1994
807fc878-8c8a-49a5-b3dd-41d1f8e0a4cc,Dohrniphora curticerca,"Brown & Kung, 2007",2007,\N,""
a6914310-82c5-4dd8-802b-97555188785a,Rhaphidostegium nanopyxis,"Paris, 1898",1898,Paris. Index Bryol. (1898).,1898
43c20ef8-54f0-47c7-acd1-2af0f0cc2bfc,Potentilla australis,(Nyman) Krasan,"",Krasan. In: Österr. Bot. Zeitschr. 17: 302. (1867).,1867
06bb6e92-65ce-491e-bfb5-f66b4bf21839,Linnaemya hybrida,"Zimin, 1965",1965,\N,""
9668644f-411e-43b4-a1a4-0f604293e099,Pleurodonte bronni,"(Pfeiffer, 1846)","","Rosenberg, G., Muratov, I. V. Status report on the terrestrial Mollusca of Jamaica. Proceedings of the Academy of Natural Sciences of Philadelphia. 155: 117-161. (2006).",2006
53d6865c-45df-4478-9da8-572ab7f605d2,Hadromeropsis (Hadromeropsis) pulverulenta,"Howden, 1982",1982,\N,""
b9cb7267-4d84-4eef-88fb-83a25fe6edaf,Zygopetalum lindeniae,Rolfe,"",Rolfe. In: Lindenia 6: 73. (1890).,1890
422c3893-2122-4cd9-a7cc-ccbf3f22c2f4,Deltocephalus scuticus,"DeLong, 1984",1984,\N,""
7c570689-dd11-4002-b030-c55aca9d1e20,Zignoella insculpta,"(Fr.) Sacc., 1883",1883,"Saccardo, P.A. In: Syll. fung. (Abellini) 2:225. (1883).",1883
18d24f4f-0f88-4b31-a305-987c5745a753,Actinote callianthe amoena,"Jordan, 1913",1913,\N,""
b6084ef0-e713-48e6-a01f-8a0ec7a26511,Callichroma concinna,"F.Philippi, 1859",1859,"PHILIPPI Friedrich Heinrich Eunom. Descripción de algunas nuevas espécies de coleópteros de la provincia de Valdivia. Anales de la Universidad. República de Chile, Santiago 16: 656-678. (1859).",1859
86d63526-bcce-4dea-9a37-863a4fbce884,Haploneurion laevifrons,"(Cresson, 1869)","",\N,""
aac71e1b-57d5-4c17-8a33-509a84dfd25a,Astephanus marginatus,Decne.,"",\N,""
435dc499-a3dc-47b8-b10f-4fe63a7e6935,Citharichtthys arenaceus,"Evermann & Marsh, 1900",1900,\N,""
d5f0e566-5052-4813-a095-f1c1007d2c39,Chlora grandiflora var. trimestris,Murb.,"","Murb. In: Murbeck] 3, Acta Univ. Lund 34: 3. (1898).",1898
3820ada9-5c18-4bec-a968-8ae22254fad2,Deltochilum (Aganhyboma) amandaarcanjoae,"Silva, Louzada & Vaz-de-Mello, 2015",2015,"Silva F.A.B., Louzada J. & Vaz-de-Mello F.Z. A revision of the Deltochilum subgenus Aganhyboma Kolbe, 1893. Zootaxa 3925(4):451-504. (2015).",2015
f718f779-c3aa-433a-9650-15147f273fbb,Carabus (Imaibius) boysii,"Tatum, 1851",1851,\N,""
234bef9e-c325-4e07-bb21-fc6c2337f7ed,Barbodes sarana,"(Hamilton, 1822)","",\N,""
2378203c-82da-4eac-9a18-89b952d4966e,Corymbia peltata,(Benth.) K.D.Hill & L.A.S.Johnson,"","K. D. Hill & L. A. S. Johnson. In: Telopea, 6(2-3): 381. (1995).",1995
8069e82d-5be9-4d3d-a771-b8ec861c8dd3,Sagartia (Heliactis) venusta,Gosse,"",\N,""
8a03dc1d-4f8f-4948-9b46-da6e482d44ba,Troschelia moerchii,"Dall, 1908",1908,\N,""
d112f7d7-c6ef-43d2-bb4a-660bc6901a7f,Stenus cylindricus,"Sharp, 1886",1886,"Sharp, D. Fam. Staphylinidae, pp. 537-672, pls. 14-17. In: Biologia Centrali-Americana. Insecta, Coleoptera. Vol. 1 (2). Taylor & Francis, London. xv + 824 pp., 19 pls. [Available from URL: <http://www.sil.si.edu/digitalcollections/bca/>]. (1886).",1886
d702f8c5-eefb-4e33-a39c-a80c49c65067,Anatoecus icterodes crassus,"Kéler, 1960",1960,\N,""
b9c181ff-0681-45a9-890b-bb0e72b54bb4,Rugilus mwengensis,"(Fagel, 1954)","","Fagel, G. Contribution à la connaissance des Staphylinidae XXI. Nouveaux Stilicus aptères du Kivu. Annales du Musée Royal du Congo Belge, Tervuren (Série 4º: Sciences Zoologiques), 1: 362-367. (1954).",1954
8961252c-f2fc-4236-9bc0-843fad6e5fb9,Opacifrons obunca,"Marshall & Langstaff, 1998",1998,\N,""
2df6d130-5938-46ac-ab4a-2c1e7456d41b,Crabro pygmaeus,"Rossi, 1794",1794,\N,""
21d855ce-c436-4704-9f15-45344f029d8a,Diphucrania wagneri,"(Barker, 2007)","",Barker S. Twenty five new species of Cisseis (sensu stricto) and two new synonyms (Coleoptera: Buprestidae: Agrilinae). Transactions of the Royal Society of South Australia 131(2):257-284. (2007).,2007
5dbcb124-07e7-44eb-bc0b-b47b9a012a69,Heterochelus defector var. schwarzei,"Andreae, 1933",1933,\N,""
ec4cb75b-c30c-4e31-bee1-079d275bfbb6,Allium apolloniensis,"Biel, Kit Tan & Tzanoud.","","Biel, Kit Tan & Tzanoud. In: Willdenowia 36: 367. (2006).",2006
12c9c125-e085-40b7-b288-8e75d3af55bd,Fargesia frigidis,T.P.Yi,"",T.P.Yi. In: J. Bamboo Res. 7(2): 17. (1988).,1988
2ce53112-aa54-4fe8-922f-b305957cbeeb,Dendropicos fuscescens lepidus,"(Cabanis & Heine, 1863)","",\N,""
d1337f1a-4e70-46d7-89c1-419a9d43d34a,Encentrum lutra,"Wulfert, 1936",1936,\N,""
dbe74fb7-fb46-4513-82e9-76431ae13d96,Eudicella woermanni var. viridipennis,"Kraatz, 1890",1890,\N,""
f4ebd6fb-2bfb-4b0d-a401-b90faaec8bf1,Mesocallis fagicola,"Matsumura, 1919",1919,Matsumura. New species and genera of Callipterinae (Aphididae) of Japan. Transactions of the Sapporo Natural History Society 7(2):99-115. (1919).,1919
83fcd2ee-68ee-405b-89d9-1bd5491a75b6,Whitea coniceps,"Descamps, 1977",1977,\N,""
d17327c0-a06e-44a4-be63-8559bcfe0bb8,Eremosybra albosignata,"Breuning, 1960",1960,\N,""
8be4a7c1-baf1-457e-8f12-33d107b0b30f,Leptocerus aulacus,"Germar, 1824",1824,\N,""
2ce5d36c-1291-4941-92a7-3c9b9935cf91,Veronicastrum formosanum,(Masam.) Yamazaki,"","Yamazaki. In: Journ. Fac. Sci. Univ. Tokyo, Sect. 3, 7: 127. (1957).",1957
dc406b43-e81e-4cd8-b0e8-c69b512d6b2e,Lathyrus petiolaris,Vogel,"",\N,""
6b4c265f-1c2d-495e-b976-13716822c428,Platanthera flava var. flava,\N,"",\N,""
85f5726c-15e6-482b-a25a-f33d5021fc29,Cayratia saponaria,(Seem. ex Benth.) Domin,"","Domin. In: Fedde, Repert. 11: 264. (1912).",1912
a48c92e6-7a15-45bd-aded-e624a41f07ee,Roesleria chilensis,"Badonnel, 1963",1963,\N,""
aa54dd0f-ce47-4763-aabe-6c55276e75c2,Betula humilis var. commutata,Regel,"",Regel. In: Nouv. Mém. Soc. Imp. Naturalistes Moscou 13(2): 108. (1861).,1861
bed03f4c-9b29-4a3c-abbc-5c3b507a289b,Tricholoba magnifica,"Viette, 1955",1955,\N,""
9dc36f12-07b5-4dc4-9307-9ddaf7fe66b9,Triadenia russeggeri,Fenzl,"",Fenzl. In: Pugill. 7. (1842).,1842
